STAR WARS™: Squadrons,"November 24, 2022","December 1, 2022"
Evil Dead: The Game,"November 17, 2022","November 24, 2022"
Dark Deity,"November 17, 2022","November 24, 2022"
Rumbleverse,"November 17, 2022","November 24, 2022"
Shadow Tactics,"November 10, 2022","November 17, 2022"
Alba – A Wildlife Adventure,"November 10, 2022","November 17, 2022"
Rising Storm 2: Vietnam,"November 3, 2022","November 10, 2022"
Filament,"November 3, 2022","November 10, 2022"
Slain: Back from Hell,"October 6, 2022","October 13, 2022"
Rising Hell,"October 6, 2022","October 13, 2022"
The Drone Racing League Simulator,"September 29, 2022","October 6, 2022"
Runbow,"September 29, 2022","October 6, 2022"
ARK: Survival Evolved,"September 22, 2022","September 29, 2022"
Gloomhaven,"September 22, 2022","September 29, 2022"
Ring of Pain,"September 1, 2022","September 8, 2022"
Knockout City,"September 1, 2022","September 8, 2022"
Shadow of the Tomb Raider: Definitive Edition,"September 1, 2022","September 8, 2022"
Submerged: Hidden Depths,"September 1, 2022","September 8, 2022"
Doom 64,"August 18, 2022","August, 25, 2022"
Rumbleverse,"August 18, 2022","August 25, 2022"
"Cook, Serve, Delicious! 3?!","August 11, 2022","August 18, 2022"
Unrailed,"August 4, 2022","August 11, 2022"
Lawn Mowing Simulator,"July 28, 2022","August 4, 2022"
Shop Titans,"July 21, 2022","July 28, 2022"
Tannenberg,"July 21, 2022","July 28, 2022"
Idle Champions of the Forgotten Realms,"July 14, 2022","July 21, 2022"
wonder-boy-the-dragons-trap,"July 14, 2022","July 21, 2022"
Killing Floor 2,"July 7, 2022","July 14, 2022"
Ancient Enemy,"July 7, 2022","July 14, 2022"
Iratus: Lord of the Dead,"June 30, 2022","July 7, 2022"
Hood: Outlaws & Legends,"June 30, 2022","July 7, 2022"
Geneforge 1 – Mutagen,"June 30, 2022","July 7, 2022"
Car Mechanic Simulator 2018,"June 23, 2022","June 30, 2022"
A Game of Thrones: The Board Game Digital Edition,"June 23, 2022","June 30, 2022"
Supraland,"June 16, 2022","June 23, 2022"
Maneater,"June 9, 2022","June 16, 2022"
Wolfenstein: The New Order,"June 2, 2022","June 9, 2022"
bioshock,"May 26, 2022","June 2, 2022"
bioshock-2,"May 26, 2022","June 2, 2022"
bioshock-infinite,"May 26, 2022","June 2, 2022"
bioshock-the-collection,"May 26, 2022","June 2, 2022"
Borderlands 3,"May 19, 2022","May 26, 2022"
redout-2016,"May 12, 2022","May 19, 2022"
Prey,"May 12, 2022","May 19, 2022"
Jotun,"May 12, 2022","May 19, 2022"
Terraforming Mars,"May 5, 2022","May 12, 2022"
Paradigm,"April 28, 2022","May 5, 2022"
Just Die Already,"April 28, 2022","May 5, 2022"
Amnesia Rebirth,"April 21, 2022","April 28, 2022"
Riverbond,"April 21, 2022","April 28, 2022"
XCOM 2,"April 14, 2022","April 21, 2022"
Insurmountable,"April 14, 2022","April 21, 2022"
Rogue Legacy,"April 7, 2022","April 14, 2022"
The Vanishing of Ethan Carter,"April 7, 2022","April 14, 2022"
Total War: Warhammer,"March 31, 2022","April 7, 2022"
City of Brass,"March 31, 2022","April 7, 2022"
Demons Tilt,"March 24, 2022","March 31, 2022"
In Sound Mind,"March 17, 2022","March 24, 2022"
Cities: Skylines,"March 10, 2022","March 17, 2022"
Black Widow: Recharged,"March 3, 2022","March 10, 2022"
Centipede: Recharged,"March 3, 2022","March 10, 2022"
Dauntless,"March 3, 2022","March 10, 2022"
Cris Tales,"February 24, 2022","March 3, 2022"
Brothers – A Tale of Two Sons,"February 17, 2022","February 24, 2022"
Windbound,"February 10, 2022","February 17, 2022"
Yooka-Laylee and the Impossible Lair,"February 3, 2022","February 10, 2022"
DAEMON X MACHINA,"January 27, 2022","February 3, 2022"
Relicta,"January 20, 2022","January 27, 2022"
Galactic Civilizations III,"January 13, 2022","January 20, 2022"
Gods Will Fall,"January 6, 2022","January 13, 2022"
Tomb Raider,"December 31, 2021","January 6, 2022"
Shadow of the Tomb Raider,"December 31, 2021","January 6, 2022"
Rise of the Tomb Raider,"December 31, 2021","January 6, 2022"
Salt and Sanctuary,"December 29, 2021","December 30, 2021"
Moving Out,"December 28, 2021","December 29, 2021"
Mages of Mystralia,"December 27, 2021","December 28, 2021"
Control,"December 26, 2021","December 27, 2021"
Prey,"December 25, 2021","December 26, 2021"
Pathfinder: Kingmaker,"December 24, 2021","December 25, 2021"
Vampyr,"December 23, 2021","December 24, 2021"
Mutant Year Zero: Road to Eden,"December 22, 2021","December 23, 2021"
Second Extinction,"December 21, 2021","December 22, 2021"
Loop Hero,"December 20, 2021","December 21, 2021"
The Vanishing of Ethan Carter,"December 19, 2021","December 20, 2021"
Remnant: From the Ashes,"December 18, 2021","December 19, 2021"
Neon Abyss,"December 17, 2021","December 18, 2021"
Shenmue III,"December 16, 2021","December 17, 2021"
Godfall,"December 9, 2021","December 16, 2021"
Prison Architect,"December 9, 2021","December 16, 2021"
While True learn,"December 2, 2021","December 9, 2021"
Dead by Daylight,"December 2, 2021","December 9, 2021"
theHunter: Call of the Wild,"November 25, 2021","December 2, 2021"
AuStream Arcade,"November 25, 2021","December 2, 2021"
Never Alone,"November 18, 2021","November 25, 2021"
Guild of Dungeoneering,"November 18, 2021","November 25, 2021"
kid-a-mnesia-exhibition,"November 18, 2021","November 25, 2021"
borderlands-2-tiny-tinas-assault-on-dragon-keep,"November 11, 2021","November 18, 2021"
Rogue Company,"November 11, 2021","November 18, 2021"
Aven Colony,"November 4, 2021","November 11, 2021"
DARQ,"October 28, 2021","November 4, 2021"
Among the Sleep,"October 21, 2021","October 28, 2021"
Stubbs the Zombie in Rebel Without a Pulse,"October 14, 2021","October 21, 2021"
PC Building Simulator,"October 7, 2021","October 14, 2021"
Europa Universalis IV,"September 30, 2021","October 7, 2021"
The Escapists,"September 23, 2021","September 30, 2021"
Speed Brawl,"September 16, 2021","September 23, 2021"
Tharsis,"September 16, 2021","September 23, 2021"
Nioh Complete Edition,"September 9, 2021","September 16, 2021"
Sheltered,"September 9, 2021","September 16, 2021"
Yokus Island Express,"September 2, 2021","September 9, 2021"
Automachef,"August 26, 2021","September 2, 2021"
Void Bastards,"August 19, 2021","August 26, 2021"
Yooka-Laylee,"August 19, 2021","August 26, 2021"
Rebel Galaxy,"August 12, 2021","August 19, 2021"
Minit,"August 5, 2021","August 12, 2021"
A Plague Tale: Innocence,"August 5, 2021","August 12, 2021"
Mothergunship,"July 29, 2021","August 5, 2021"
Train Sim World,"July 29, 2021","August 5, 2021"
Defense Grid: The Awakening,"July 22, 2021","July 29, 2021"
Verdun,"July 22, 2021","July 29, 2021"
Obduction,"July 15, 2021","July 22, 2021"
Offworld Trading Company,"July 15, 2021","July 22, 2021"
Bridge Constructor: The Walking Dead,"July 8, 2021","July 15, 2021"
Ironcast,"July 8, 2021","July 15, 2021"
The Spectrum Retreat,"July 1, 2021","July 8, 2021"
Horizon Chase Turbo,"June 24, 2021","July 1, 2021"
Sonic Mania,"June 24, 2021","July 1, 2021"
Hell is Other Demons,"June 17, 2021","June 24, 2021"
Control,"June 10, 2021","June 17, 2021"
Frostpunk,"June 3, 2021","June 10, 2021"
Among Us,"May 27, 2021","June 3, 2021"
NBA 2K21,"May 20, 2021","May 27, 2021"
The Lions Song,"May 13, 2021","May 20, 2021"
Pine,"May 6, 2021","May 13, 2021"
Idle Champions of the Forgotten Realms,"April 29, 2021","May 6, 2021"
Hand of Fate 2,"April 22, 2021","April 29, 2021"
deponia-the-complete-journey,"April 15, 2021","April 22, 2021"
3 out of 10: Season Two,"April 8, 2021","April 15, 2021"
Tales of the Neon Sea,"April 1, 2021","April 8, 2021"
Creature in the Well,"March 25, 2021","April 1, 2021"
The Fall,"March 18, 2021","March 25, 2021"
Surviving Mars,"March 11, 2021","March 18, 2021"
Wargame: Red Dragon,"March 4, 2021","March 11, 2021"
Sunless Sea,"February 25, 2021","March 4, 2021"
Rage 2,"February 18, 2021","February 25, 2021"
Absolute Drift,"February 18, 2021","February 25, 2021"
Halcyon 6: Lightspeed Edition,"February 4, 2021","February 11, 2021"
For the King,"February 4, 2021","February 11, 2021"
Metro: Last Light Redux,"February 4, 2021","February 11, 2021"
Dandara,"January 28, 2021","February 4, 2021"
Galactic Civilizations 3,"January 21, 2021","January 28, 2021"
Star Wars Battlefront ii,"January 14, 2021","January 21, 2021"
Crying Suns,"January 7, 2021","January 14, 2021"
Jurassic World Evolution,"December 31, 2020","January 7, 2021"
Torchlight II,"December 30, 2020","December 31, 2020"
Solitairica,"December 29, 2020","December 30, 2020"
Stranded Deep,"December 28, 2020","December 29, 2020"
Night in the Woods,"December 27, 2020","December 28, 2020"
My Time at Portia,"December 26, 2020","December 27, 2020"
Darkest Dungeon,"December 25, 2020","December 26, 2020"
Inside,"December 24, 2020","December 25, 2020"
Tropico 5,"December 23, 2020","December 24, 2020"
Metro: 2033,"December 22, 2020","December 23, 2020"
Alien: Isolation,"December 21, 2020","December 22, 2020"
Defense Grid: The Awakening,"December 20, 2020","December 21, 2020"
The Long Dark,"December 19, 2020","December 20, 2020"
oddworld-abes-oddysee---new-n-tasty,"December 18, 2020","December 19, 2020"
Cities: Skylines,"December 17, 2020","December 18, 2020"
Pillars of Eternity,"December 10, 2020","December 17, 2020"
Tyranny,"December 10, 2020","December 17, 2020"
cave-story-plus,"December 3, 2020","December 10, 2020"
spintires-mudrunner,"November 26, 2020","December 3, 2020"
Elite Dangerous,"November 19, 2020","November 26, 2020"
The World Next Door,"November 19, 2020","November 26, 2020"
the-textorcist-the-story-of-ray-bibbia,"November 12, 2020","November 19, 2020"
Dungeons 3,"November 5, 2020","November 12, 2020"
Ghostbusters The Video Game Remastered,"October 29, 2020","November 5, 2020"
Blair Witch,"October 29, 2020","November 5, 2020"
Layers of Fear 2,"October 22, 2020","October 29, 2020"
Costume Quest 2,"October 22, 2020","October 29, 2020"
Amnesia: A Machine for Pigs,"October 15, 2020","October 22, 2020"
Kingdom: New Lands,"October 15, 2020","October 22, 2020"
Abzu,"October 8, 2020","October 15, 2020"
Rising Storm 2: Vietnam,"October 8, 2020","October 15, 2020"
Pikuniku,"October 1, 2020","October 8, 2020"
rollercoaster-tycoon-3,"September 24, 2020","October 1, 2020"
football-manager-2022,"September 17, 2020","September, 24, 2020"
Stick It To The Man!,"September 17, 2020","September, 24, 2020"
Railway Empire,"September 10, 2020","September 17, 2020"
Where the Water Tastes Like Wine,"September 10, 2020","September 17, 2020"